precision,recall,f1,jaccard,algorithm,image
0.012576348351326377,0.6619217081850534,0.024683712288772894,0.012496080978187845,sobel,163096
0.013133360356708553,0.28825622775800713,0.025122121423586885,0.012720848056537103,canny,163096
0.013369243199569081,0.6925223214285714,0.026232072460551484,0.013290352981494174,roberts,164074
0.01391709534756657,0.7533482142857143,0.027329318285338328,0.013853968905536456,sobel,164074
0.015682590156825903,0.36328125,0.030067200886774594,0.015263059176591954,canny,164074
0.030999206279213334,0.7300103842159917,0.05947294953682162,0.030647833289737553,roberts,145086
0.031018321261184492,0.7559709241952233,0.059591536037326566,0.030710820502003796,sobel,145086
0.03707888679640092,0.46002076843198336,0.068626311916657,0.03553238419891718,canny,145086
0.040806826997672616,0.1303270564915758,0.06215290086257829,0.03207317073170732,roberts,310007
0.040652818991097926,0.13577799801783944,0.06257136332496004,0.032296086751532296,sobel,310007
0.050953320184089414,0.07680872150644202,0.06126482213438736,0.03160040774719674,canny,310007
0.01561805599644467,0.11227749885896851,0.027421692119050274,0.013901446654611212,roberts,236017
0.014525072324011571,0.10999543587403013,0.025661502422403237,0.012997519145723222,sobel,236017
0.01442109600329625,0.07987220447284345,0.024431104285913722,0.012366617200197865,canny,236017
0.012431004610738192,0.6688741721854304,0.024408380272526165,0.012354972570643531,roberts,35049
0.012186575299797539,0.6377992868059094,0.023916178760064567,0.012102815934729862,sobel,35049
0.01656957310667558,0.35354049923586345,0.031655529454694735,0.016082311774384166,canny,35049
0.03688060939739045,0.15518882894319264,0.05959780621572212,0.030714151121160733,roberts,196027
0.03725979169722752,0.1612186607426214,0.06053023532916295,0.031209682373901825,sobel,196027
0.04101362238171964,0.08886067914947636,0.05612347163760273,0.02887193235718705,canny,196027
0.03522219411417489,0.8660584698320547,0.06769141014317778,0.03503136636586266,roberts,43083
0.03598959140556811,0.9147833298776695,0.06925455601425275,0.03586933545796003,sobel,43083
0.04749543113473999,0.47418619116732325,0.08634261444077394,0.04511916035353535,canny,43083
0.015917647619501502,0.2764900662251656,0.03010229372268037,0.0152811456284028,roberts,216066
0.01509569592955342,0.2781456953642384,0.028637177192533878,0.014526588845654994,sobel,216066
0.013340967649584885,0.19288079470198677,0.02495581856155947,0.012635574837310195,canny,216066
0.04325242233543103,0.18970427163198247,0.07044373042664824,0.03650773576156149,roberts,94095
0.042787996127783154,0.1936473165388828,0.07008919722497521,0.03631732467852594,sobel,94095
0.0412442541401675,0.14348302300109528,0.06407121197300206,0.03309585164973978,canny,94095
0.018952474921887848,0.11989596879063719,0.03273101636550819,0.01663779413887686,roberts,157055
0.021021717288816754,0.14148244473342003,0.036604649597954446,0.018643545015250694,sobel,157055
0.017830374753451676,0.058777633289986995,0.027360774818401934,0.013870136246471093,canny,157055
0.01997338809985248,0.5602434077079107,0.03857164802323795,0.019665081308916924,roberts,61034
0.019602656382697314,0.5711967545638945,0.03790448500511495,0.0193183689149882,sobel,61034
0.024088428516806284,0.28113590263691685,0.04437471985656657,0.02269080907632363,canny,61034
0.013292515910738741,0.31976744186046513,0.025524015778482477,0.012926982137261046,roberts,247003
0.012580737205260564,0.31330749354005166,0.02419012942966159,0.012243146362397133,sobel,247003
0.012569708772240418,0.1834625322997416,0.02352746251346202,0.011903763936625032,canny,247003
0.016887985704775586,0.2012526096033403,0.031161106801137834,0.015827149142969725,roberts,227046
0.01581827225999005,0.19916492693110646,0.029308755760368663,0.014872322514264335,sobel,227046
0.01555600160578081,0.12943632567849686,0.027774044707252612,0.014082587561895244,canny,227046
0.03740548506984493,0.5884576612903226,0.0703397999759007,0.03645191001764054,roberts,15004
0.038021686559013966,0.6141633064516129,0.0716101259127573,0.037134672233565966,sobel,15004
0.03966926195225533,0.3107358870967742,0.07035663338088445,0.03646095159239436,canny,15004
0.03501945525291829,0.11118955171196611,0.05326344267839026,0.027360375228003126,roberts,106024
0.03412073490813648,0.12389692905047653,0.05350609756097562,0.027488448586420237,sobel,106024
0.03466955579631636,0.07906812566184257,0.04820314181192166,0.024696802646085998,canny,106024
0.013474415144250641,0.21409807355516638,0.02535320803629294,0.012839363545659822,roberts,368037
0.012648689380483342,0.20577933450087565,0.0238324628568531,0.012059940470081083,sobel,368037
0.015827642792864326,0.1309106830122592,0.02824085005903187,0.014322667177620233,canny,368037
0.022354958897628483,0.4926151172893136,0.04276905089667918,0.021851816167260816,roberts,372047
0.02331786542923434,0.523892267593397,0.04464847654659213,0.02283398970009088,sobel,372047
0.03556938057884772,0.342745438748914,0.06445025322659696,0.033298164169656044,canny,372047
0.008839585589725077,0.4519015659955257,0.017339986050753795,0.008745819216989404,roberts,106025
0.008958408168152477,0.4602908277404922,0.017574767502696004,0.008865286425232134,sobel,106025
0.009400568676376718,0.18120805369127516,0.017873889777679702,0.009017534094071807,canny,106025
0.04864099254159495,0.5788350757414125,0.0897408332368556,0.04697835497835498,roberts,15011
0.051090060597617885,0.6259867719223384,0.09446993479835789,0.04957672225883307,sobel,15011
0.05782533137969809,0.3620652869639428,0.09972380560615855,0.052478584902742986,canny,15011
0.03518786742779245,0.45185995623632386,0.06529128132163466,0.03374734433731002,roberts,201080
0.03628934379804191,0.4907002188183807,0.06758080313418217,0.03497212366953877,sobel,201080
0.040807590782621105,0.31291028446389496,0.07219943199747554,0.037451712171806456,canny,201080
0.042773713258888464,0.29569653948535934,0.07473648800179414,0.03881883572614229,roberts,206062
